what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ibm.teamz.fileagent,1.1.0.v20110602_1036,"com.ibm.teamz.fileagent",1346217406724
os,sysinfo,,,"win32",1346217406727
arch,sysinfo,,,"x86",1346217406727
ws,sysinfo,,,"win32",1346217406727
locale,sysinfo,,,"en_ZA",1346217406727
processors,sysinfo,,,"4",1346217406727
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346217406727
java.runtime.version,sysinfo,,,"1.6.0_01-b06",1346217406727
java.specification.name,sysinfo,,,"Java Platform API Specification",1346217406727
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346217406727
java.specification.version,sysinfo,,,"1.6",1346217406727
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346217406727
java.version,sysinfo,,,"1.6.0_01",1346217406727
java.vm.info,sysinfo,,,"mixed mode",1346217406727
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346217406727
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346217406727
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346217406727
java.vm.specification.version,sysinfo,,,"1.0",1346217406727
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346217406727
java.vm.version,sysinfo,,,"1.6.0_01-b06",1346217406727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217440562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217442455
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346217442524
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1346217442706
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1346217442710
stopped,bundle,org.eclipse.xtext.xtext.ui,1.0.2.v201102150722,"org.eclipse.xtext.xtext.ui",1346217442983
stopped,bundle,org.eclipse.emf.mwe2.language.ui,1.0.2.v201102151014,"org.eclipse.emf.mwe2.language.ui",1346217442984
stopped,bundle,org.eclipse.ocl.examples.xtext.completeocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.completeocl.ui",1346217442985
stopped,bundle,org.eclipse.ocl.examples.xtext.oclinecore.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.oclinecore.ui",1346217442986
stopped,bundle,org.eclipse.ocl.examples.xtext.essentialocl.ui,3.0.1.R30x_v201008251030,"org.eclipse.ocl.examples.xtext.essentialocl.ui",1346217443019
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1346217456546
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1346217456549
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1346217456551
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1346217456553
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1346217456555
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1346217456558
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1346217456561
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1346217456563
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1346217456566
